סוג תוכן,נושא,לינק למקור,קובץ מקור,הערות
סקריפט UTM לגוגל,"קוד וסקריפטים,גוגל,קמפיינים",https://docs.google.com/document/d/1BkM1RsKEXdpPgHdIfrKklLw4xWPA-39JcAHpXM1aa-Y/edit?usp=sharing,סקריפט UTM  (https://v5.airtableusercontent.com/v3/u/53/53/1779120000000/T9MlNDKFOoytjzvZTTh1Fg/Nhey7fc2YgH9sD5Dl_6PqinsY19uhNP8WjQrB0kS4lV6QMOydigfJU4eg4iSWUXbRnNA1YMLZ8f6MBQ56jsKb7mBnSKD2LxQJLxIMTY6LgKNM-Zj5Yok5la002lwgiSwbzb1LSTKXHsoVpdt7Bty_A/Yl1CaeCZew0vQXZarxtTvn1w4woDwRJ6TIiJcp_u05E),"לעשות preview לפני הרצה
"
Google ads Columns,"גוגל,קמפיינים",https://docs.google.com/spreadsheets/d/1bfm7s4WpZJmMfgpJLDzFseIBtbbzgeHyNS1sVo2Z3ew/edit?gid=488962280#gid=488962280,,סידור עמודות בקמפיינים לכל סוג קמפיין
GDN כל הגדלים לעיצוב,"גוגל,קמפיינים",https://docs.google.com/spreadsheets/d/1bfm7s4WpZJmMfgpJLDzFseIBtbbzgeHyNS1sVo2Z3ew/edit?gid=0#gid=0,,
GDN אתרים לשלילה/לחיוב,"גוגל,קמפיינים",https://docs.google.com/spreadsheets/d/1bfm7s4WpZJmMfgpJLDzFseIBtbbzgeHyNS1sVo2Z3ew/edit?gid=1540382935#gid=1540382935,,להטמיע אתרים לשלילה באקסקלוד של הקמפיין ואתרים לחיוב בסקשן של התוכן לפרסום
GDN אפליקציות וקטגוריות לפרסום,"גוגל,קמפיינים",https://docs.google.com/spreadsheets/d/1bfm7s4WpZJmMfgpJLDzFseIBtbbzgeHyNS1sVo2Z3ew/edit?gid=137206932#gid=137206932,,כולל גם עמודה מותאמת אישית לניצול תקציב יומי
מילים לשלילה לכל קמפיין בגוגל,"גוגל,קמפיינים",https://docs.google.com/spreadsheets/d/1bfm7s4WpZJmMfgpJLDzFseIBtbbzgeHyNS1sVo2Z3ew/edit?gid=1598557970#gid=1598557970,,
צ'ק ליסט חובה לפני עליית קמפיין פייסבוק,פייסבוק,https://docs.google.com/spreadsheets/d/1_tW6B4cfoxd7OtWVK3estZsd7lR39JIX6i8jw6xih4o/edit?gid=0#gid=0,,
צ'ק ליסט חובה לפני עליית קמפיין גוגל,גוגל,https://docs.google.com/spreadsheets/d/1_tW6B4cfoxd7OtWVK3estZsd7lR39JIX6i8jw6xih4o/edit?gid=0#gid=0,,
טבלאות Benchmark לכל הלקוחות,קמפיינים,https://docs.google.com/spreadsheets/d/1SHn-LJ0Z4SYlmnnHzUEHkb0JuO7Bsv1ZKJodRWAE8n4/edit?usp=sharing,,
"טרגוט קהילות יהודיות בחו""ל","קמפיינים,פייסבוק,גוגל",https://docs.google.com/spreadsheets/d/1Gg3MdAhicPG2FAUfeRoRtB2p3Y7Zde9yM6XgQoYh2yo/edit?usp=sharing,,
חוקי אופטימיזציה לקמפיינים,"קמפיינים,פייסבוק,גוגל",https://docs.google.com/spreadsheets/d/1IbKfVUCf4ezcPGxC_fSLWltYBCr66URo16yQ0wL-iKQ/edit?usp=sharing,,
קובץ CRO לחנויות איקומרס,אתרים,https://docs.google.com/spreadsheets/d/16EAjvWF6QfSFaaZzF4cU1E2uFpYDahTupsFaI-USynw/edit?usp=sharing,,יש להעתיק ולעבוד על עותק לפני תחילת עבודה
מעקב תקציבים חודשי לפי פלטפורמה ,קמפיינים,https://docs.google.com/spreadsheets/d/155lE3GnuX1V9EmbE0rUr-6LIx0Sx4H6ne-mULNDUnzQ/edit?gid=0#gid=0,,לפתוח גיליון נפרד לכל חודש בחודשו
עמידה ביעדים - טבלה חודשית פר לקוח,קמפיינים,https://docs.google.com/spreadsheets/d/1UFUSj3ZkhSlcPGCY7GjrSdYGH7SeCPVpv8Xx3SGFfUI/edit?gid=0#gid=0,,"כל לקוח בגיליון נפרד, כל חודש בטבלה נפרדת מתחת לחודש לפניו"
