נושא הפגישה,תאריך פגישה,לקוח,היו בפגישה,תיעוד וסיכום פגישה,מקושר לקמפיין:,לקוחות copy
שפיצברגן 2026,9/3/2025 4:48pm,פוטוטבע | Phototeva,Idan Alush,"סוכם עם עודד ורועי כי נעלה לקמפיין בתחילת חודש הבא עם 20000 שח תקציב ב2 פלטרפומות הפרסום
",,
עצירת קמפיינים - PORT TLV,9/7/2025 3:00am,קבוצת חג'ג' | Hagag,"sharon Raz,Ben Shalev",נשלח מייל מהלקוח לעצור את הפעילות של PORT TLV עד להודעה חדשה,,
שבועית,9/9/2025 10:27am,אלביישן Elevation,,"Dan Mayzlish:
• להכין כתבה וסרטון AI על ניהול פרויקטים עבור קורס ספיר ולהעלות אותם במהירות (עד ה-30 בחודש)
• לשלוח לגל Koll את הלינק לקובץ המעקב של הקמפיינים
• לבנות קמפיין רימרקטינג על כל מי שיצר מעורבות עם העמוד של נשותה בפייסבוק ולינקדאין, כדי להגיע לרקרוטמנט ולקורסים עתידיים
• לנתח את תוצאות הסרטון למילואים ניקים ולבחון דרכים להגדיל את החשיפה


yishay sayag:
• לעדכן את עומר וגל Koll על מצב המפגש חשיפה של נגב טאלנט תוך יומיים, כולל התקדמות בלידים ל-IT ול-Full Stack
• להעלות קמפיין לינקדאין לנגב טאלנט ולבדוק תוצאות תוך יומיים
• לשלוח הודעה למור בנוגע ל-AWS Restart כדי לקבל עדכון אם יש מספיק אנשים בקריטריון ולהעביר את המידע לגל Koll
• לעדכן את גל Koll בתשובת מור לגבי המשך קמפיין AWS Restart
• להעביר לגל Koll את נתוני העלות של קמפיין כנרת עד כה (כולל פירוט עלויות והמספרים המעודכנים)
• אישי סיאג ידבר עם אורן לגבי חידודים נדרשים לאתר טקטרופ ולוחות זמנים חדשים להכשרות


Gal Koll:
• לקבל מנשותה את העמודים הרשמיים בפייסבוק ולינקדאין ולשלוח אותם לדן Mayzlish לבניית קהל רימרקטינג
• לברר עם נשותה האם יש להן רשימות דיבור/מיילים של הנמענות ולבדוק אפשרות להשתמש בהן לשיווק


* אימייל זה נכתב בעזרת timeOS.ai",,
עלייה מחדש לאוויר,9/16/2025 2:20pm,H2 | מי מימן,Idan Alush,"סוכם כי נעלה עם הקמפיין החדש במטרה של רכישה ישירה באתר במקום שארת פרטים (יצויין כי יהיה אופציה גם להשאיר פרטים אבל ככפתור משני ופחות בולט)
פעולות להמשך: דיוק הדף נחיתה שיוביל לרכישה והפעלת הקמפיין",,
עדכון מערכת אדסקייל,9/25/2025 11:00am,שמרת הזורע | SHW,Idan Alush,"פיצ'ר חדש של אדסקייל לעשות אופטימזציה לכותרות מוצרים על בסיס העמוד מוצר - זיו רשם את שמרת הזורע, יעדכן אותי שזה יוכל לעלות לאוויר.

אם יש פגישה עם נציג של גוגל לבקש ממנו את הבטא של המיקומים בפימקס",,
וויקלי עם בן,10/20/2025 3:00pm,,"Idan Alush,Ben Shalev","סיכום פגישה:
מילגה להוציא מייל על האתר ולכבות קמפיינים ל24 שעות הקרובות עד שנדע בוודאות שהאתר החדש באוויר והכל תקין איתו.

מילגה דאטה פיד וואץ לאתר החדש בטיפול של בן @Ben Shalev 

להוציא לזיו מייל על שמרת הזורע בנושא החזר השקעה שצמח מאוד בפייסבוק אבל ירד בגוגל. בפועל אין גדילה במכירות.

להוציא לבן מייל על קראיטיבים חדשים לקורסים של שנקר הנדסאים כדי שהוא ישלח לסטודיו.

לקוחות חדשים:
נוף כנרת פרוייקט שטח לדירה: מחכים שמייאש יעביר את הדף נחיתה של לאבאבל לוורדפרס אלמנטור
אפשר להתחיל לעבוד על קופי קראייטיב לקמפיינים.

פטריקס אתר שופיפיי לרצועות מיוחדות לכלבים, מתוכנן לחבר אליו את אדסקייל, לעשות יישור קו על האתר מבחינת קופי ואסתטיקה, ואופטימזציה לקמפיינים. המטרה להגדיל את החזר ההשקעה מ3 ל6 בחודשים הראשונים.

אנטי-וירוס איסט פגישה פרונטלית במשרד בחמישי הקרוב על תחילת עבודה.

פרופיט - עוברים מפעילות סושיאל לפעילות סושיאל ופרפורמנס וגיוס לידים לאתר החדש שלהם.",,
פגישת אסטרטגיה פוטוטבע ,10/21/2025 1:00am,פוטוטבע | Phototeva,"Idan Alush,sharon Raz,Ben Shalev","רועי רוצה אסטרטגיה ברורה, מי אנחנו, מה הבידול שלנו מהמתחרים, איך אנחנו מתמודדים עם התחרות
שלושה דברים שהם רוצים להבליט:
1. באמת/אותנטי (לא ai)
2. גישה (Access) - ליעדים ואיך למצוא בעלי חיים, הדבר האמיתי שאצל אחרים לא מקבלים.
3. אינטימיות - יחס הדרכה גבוה, מוגבל כמות אנשים להגעה בחוף, אוניות קטנות וקבוצות קטנות, טיולי חופים הכי מבוקשים בעולם ללא הגבלה בזמן בלעדי רק בפוטוטבע.

פעולות המשך:
קביעת פגישה נוספת
דרישות של חומרים ותוכן שאנחנו צריכים לקמפיינים/סושיאל
הכנת תוכנית עבודה על בסיס הערכים שרועי הציג
הקמת קמפיין אוורנס נוסף עם חומרי וידאו
",,
פגישת חשיבה מכונות ביתיות,10/22/2025 3:00pm,H2 | מי מימן,Idan Alush,"נקודות חשובות לדף

 ליצור קשר עם לקוחות שקנו את המכשיר הביתי שיצרו תוכן        אותנטי לגבי המוצר
 מחקרים על המכשיר, קייס סטאדיז, מה הוא עושה תכלס, סרטון קצר של שימוש במוצר, איזה התקנה זה מצריך, החלפת סנן, שימושים נוספים, כמה שיותר תשובות לשאלות הקלאסיות

אולי להפסיק בקבוקים ולתת דגש על מכשירים ביתיים

CPL בקבוק היה כ-50


בקבוקים
לשלוח תוכן UGC קיים של הבקבוקים
לשים UGC בדף
לשקול עליה לקמפיין לידים חזרה",,
התנעה מחדש של קמפיין למפגש בניו יורק,10/23/2025 6:16pm,HAGAG ABROAD,Dan Mayzlish,"קמפיין חדש בתקציב: 15,000 ש""ח 
יעלה בלינקדאין + מטה
מיקומים: ניו יורק- עם מיקוד בשכונות היהודיות
ניו ג'רזי

Landing Page Title:
Title: From New York to Tel Aviv - An Exclusive Evening with Hagag Group 
Tagline: Discover How to Invest in Tel Aviv’s Most Prestigious Properties with Confidence.

למצוא ביטוי הנעה לפעולה שיראה על אקסלוסיביות, שלא כל אחד נכנס. 
במקום הביטוי להרשמה

Final Location - not set yet
Date 17 November 2025
18:30 - 21:30

Action Items
- Update text on LP
- Test a new background for header (and change the moma image to something port)
- Update ads with text and new design
- Kate: to send content about participants
- Kate: Send email automation text",,
תקציבי נובמבר שנקר,10/28/2025 2:00pm,שנקר הנדסאים,"Idan Alush,Ben Shalev","הנדסאים - בניין ותוכנה כמו שהם נשארים עד יום שישי הבא (06.11) 
לעשות רימרקטינג לכל הקורסים ו2 ההנדסאים הנותרים
שאר הקמפיינים להוריד ביום ראשון בבוקר או במוצ״ש הקרוב.
אדריכלות הכי כואב להם - ירידה של 33% 
אחרי זה תקשורת חזותית - חסר 40% 

3000 לכל קורס כפול 7 קורסים
מעט תקציב לקמפיין גוגל עיצוב פנים בצפון - מחקר ביטויים
לוודא שהטקסטים שיש בדף נחיתה ux/ui הם כמו באתר, לעדכן מודעות בגוגל/פייסבוק במידת הצורך
לא עכשיו, בעתיד - מבחן הסמכה בינלאומי לקורס, יהיה צורך בשינוי בקמפיין ובדף נחיתה כדי להדגיש את זה

@Ben Shalev ",,
